ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Categoria,Respuesta,Mantiene,SDO_Score,NDC_Score,expectativa_sin,expectativa_grande,expectativa_pequeña,Genero,politica,nivel_se,Gap_Size,expectativa_sin_num,expectativa_grande_num,expectativa_pequeña_num,Expectativa_Activa,Promedio_Gap_0,Promedio_Gap_1000,Promedio_Gap_1200,Promedio_Gap_2000,Promedio_Gap_2400,Promedio_CON,Promedio_SIN,Promedio_DIST,Delta_Mantiene,Delta_base,Tratamiento
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2,0,2.1,4.166666666666667,0,-1,-1,Hombre,3,4,0,0,-1,-1,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.6666666666666666,0.6666666666666666,-0.5,0.0,CON
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 1,1,1.5,4.5,-1,-1,-1,Mujer,1,5,0,-1,-1,-1,-1,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,CON
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2,0,3.3,5.0,0,1,1,Mujer,6,6,0,0,1,1,0,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,CON
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 1,1,2.3,3.8333333333333335,-1,-1,-1,Mujer,2,5,0,-1,-1,-1,-1,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,CON
Suj_007,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 1,1,3.4,3.0,1,-1,1,Mujer,4,3,0,1,-1,1,1,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,CON
Suj_008,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2,0,2.3,4.0,-1,-1,-1,Mujer,3,7,0,-1,-1,-1,-1,0.5,0.0,0.6666666666666666,0.3333333333333333,0.0,0.1666666666666666,0.3333333333333333,0.5,-0.1666666666666666,-0.1666666666666666,CON
Suj_009,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 1,1,2.6,4.166666666666667,1,-1,-1,Mujer,4,8,0,1,-1,-1,1,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.5,0.8333333333333334,0.8333333333333334,-0.3333333333333333,0.0,CON
Suj_011,Respuestas de formulario 2,AEF,Bloque_1,Bloque_CON,1,Opción 1,1,1.0,4.333333333333333,0,0,0,Mujer,2,5,0,0,0,0,0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,CON
Suj_012,Respuestas de formulario 2,AEF,Bloque_1,Bloque_CON,1,Opción 2,0,1.4,4.5,-1,-1,-1,Mujer,2,5,0,-1,-1,-1,-1,0.6666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,-0.1666666666666666,0.1666666666666666,CON
Suj_014,Respuestas de formulario 2,AEF,Bloque_1,Bloque_CON,1,Opción 2,0,3.5,5.0,0,-1,-1,Hombre,7,7,0,0,-1,-1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,-1.0,1.0,CON
Suj_015,Respuestas de formulario 2,AEF,Bloque_1,Bloque_CON,1,Opción 1,1,1.7,3.1666666666666665,0,-1,-1,Mujer,3,3,0,0,-1,-1,0,1.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,CON
Suj_016,Respuestas de formulario 2,AEF,Bloque_1,Bloque_CON,1,Opción 1,1,2.8,3.0,0,0,0,Hombre,6,5,0,0,0,0,0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.8333333333333334,0.6666666666666666,0.1666666666666666,0.1666666666666667,CON
