ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Categoria,Respuesta
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2
Suj_001,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 2
Suj_001,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 2
Suj_001,Respuestas de formulario 1,-,Bloque_0,Atencion,1,Opción 3
Suj_001,Respuestas de formulario 1,AGH,Bloque_3,Bloque_CON,4,Opción 2
Suj_001,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 1
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 2
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Dist,1,Opción 1
Suj_001,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2
Suj_001,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 2
Suj_001,Respuestas de formulario 1,AGH,Bloque_3,Dist,4,Opción 1
Suj_001,Respuestas de formulario 1,-,Bloque_0,Atencion,2,Opción 3
Suj_001,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 1
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 1
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,1,Opción 1
Suj_001,Respuestas de formulario 1,-,Bloque_0,Atencion,3,Opción 3
Suj_001,Respuestas de formulario 1,AEF,Bloque_5,Bloque_SIN,2,Opción 1
Suj_001,Respuestas de formulario 1,AJK,Bloque_7,Bloque_SIN,3,Opción 2
Suj_001,Respuestas de formulario 1,AGH,Bloque_3,Bloque_SIN,4,Opción 1
Suj_001,Respuestas de formulario 1,ALM,Bloque_9,Bloque_SIN,5,Opción 2
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,6,Opción 1
Suj_002,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2
Suj_002,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 1
Suj_002,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 2
Suj_002,Respuestas de formulario 1,-,Bloque_0,Atencion,1,Opción 2
Suj_002,Respuestas de formulario 1,AGH,Bloque_3,Bloque_CON,4,Opción 1
Suj_002,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 2
Suj_002,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 2
Suj_002,Respuestas de formulario 1,ABC,Bloque_1,Dist,1,Opción 1
Suj_002,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2
Suj_002,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 1
Suj_002,Respuestas de formulario 1,AGH,Bloque_3,Dist,4,Opción 2
Suj_002,Respuestas de formulario 1,-,Bloque_0,Atencion,2,Opción 3
Suj_002,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 2
Suj_002,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 1
Suj_002,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,1,Opción 1
Suj_002,Respuestas de formulario 1,-,Bloque_0,Atencion,3,Opción 2
Suj_002,Respuestas de formulario 1,AEF,Bloque_5,Bloque_SIN,2,Opción 1
Suj_002,Respuestas de formulario 1,AJK,Bloque_7,Bloque_SIN,3,Opción 2
Suj_002,Respuestas de formulario 1,AGH,Bloque_3,Bloque_SIN,4,Opción 1
Suj_002,Respuestas de formulario 1,ALM,Bloque_9,Bloque_SIN,5,Opción 2
Suj_002,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,6,Opción 1
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 1
Suj_003,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 2
Suj_003,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 2
Suj_003,Respuestas de formulario 1,-,Bloque_0,Atencion,1,Opción 3
Suj_003,Respuestas de formulario 1,AGH,Bloque_3,Bloque_CON,4,Opción 1
Suj_003,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 2
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 2
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Dist,1,Opción 1
Suj_003,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2
Suj_003,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 2
Suj_003,Respuestas de formulario 1,AGH,Bloque_3,Dist,4,Opción 2
Suj_003,Respuestas de formulario 1,-,Bloque_0,Atencion,2,Opción 3
Suj_003,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 2
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 2
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,1,Opción 2
Suj_003,Respuestas de formulario 1,-,Bloque_0,Atencion,3,Opción 3
Suj_003,Respuestas de formulario 1,AEF,Bloque_5,Bloque_SIN,2,Opción 2
Suj_003,Respuestas de formulario 1,AJK,Bloque_7,Bloque_SIN,3,Opción 2
Suj_003,Respuestas de formulario 1,AGH,Bloque_3,Bloque_SIN,4,Opción 1
Suj_003,Respuestas de formulario 1,ALM,Bloque_9,Bloque_SIN,5,Opción 2
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,6,Opción 2
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2
Suj_004,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 2
Suj_004,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 1
Suj_004,Respuestas de formulario 1,-,Bloque_0,Atencion,1,Opción 3
Suj_004,Respuestas de formulario 1,AGH,Bloque_3,Bloque_CON,4,Opción 1
Suj_004,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 2
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 2
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Dist,1,Opción 1
Suj_004,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2
Suj_004,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 2
Suj_004,Respuestas de formulario 1,AGH,Bloque_3,Dist,4,Opción 2
Suj_004,Respuestas de formulario 1,-,Bloque_0,Atencion,2,Opción 3
Suj_004,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 2
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 2
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,1,Opción 1
Suj_004,Respuestas de formulario 1,-,Bloque_0,Atencion,3,Opción 3
Suj_004,Respuestas de formulario 1,AEF,Bloque_5,Bloque_SIN,2,Opción 2
Suj_004,Respuestas de formulario 1,AJK,Bloque_7,Bloque_SIN,3,Opción 2
Suj_004,Respuestas de formulario 1,AGH,Bloque_3,Bloque_SIN,4,Opción 2
Suj_004,Respuestas de formulario 1,ALM,Bloque_9,Bloque_SIN,5,Opción 2
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,6,Opción 2
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 2
Suj_005,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 2
Suj_005,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 2
Suj_005,Respuestas de formulario 1,-,Bloque_0,Atencion,1,Opción 1
Suj_005,Respuestas de formulario 1,AGH,Bloque_3,Bloque_CON,4,Opción 1
Suj_005,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 2
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 1
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Dist,1,Opción 1
Suj_005,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2
Suj_005,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 2
Suj_005,Respuestas de formulario 1,AGH,Bloque_3,Dist,4,Opción 1
Suj_005,Respuestas de formulario 1,-,Bloque_0,Atencion,2,Opción 3
Suj_005,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 2
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 2
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,1,Opción 1
Suj_005,Respuestas de formulario 1,-,Bloque_0,Atencion,3,Opción 3
Suj_005,Respuestas de formulario 1,AEF,Bloque_5,Bloque_SIN,2,Opción 2
Suj_005,Respuestas de formulario 1,AJK,Bloque_7,Bloque_SIN,3,Opción 2
Suj_005,Respuestas de formulario 1,AGH,Bloque_3,Bloque_SIN,4,Opción 2
Suj_005,Respuestas de formulario 1,ALM,Bloque_9,Bloque_SIN,5,Opción 2
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,6,Opción 2
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,Opción 1
Suj_006,Respuestas de formulario 1,AEF,Bloque_5,Bloque_CON,2,Opción 2
Suj_006,Respuestas de formulario 1,AJK,Bloque_7,Bloque_CON,3,Opción 1
Suj_006,Respuestas de formulario 1,-,Bloque_0,Atencion,1,Opción 3
Suj_006,Respuestas de formulario 1,AGH,Bloque_3,Bloque_CON,4,Opción 2
Suj_006,Respuestas de formulario 1,ALM,Bloque_9,Bloque_CON,5,Opción 1
Suj_006,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,6,Opción 1
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Dist,1,Opción 1
Suj_006,Respuestas de formulario 1,AEF,Bloque_5,Dist,2,Opción 2
Suj_006,Respuestas de formulario 1,AJK,Bloque_7,Dist,3,Opción 2
Suj_006,Respuestas de formulario 1,AGH,Bloque_3,Dist,4,Opción 1
Suj_006,Respuestas de formulario 1,-,Bloque_0,Atencion,2,Opción 3
Suj_006,Respuestas de formulario 1,ALM,Bloque_9,Dist,5,Opción 2
Suj_006,Respuestas de formulario 1,AQS,Bloque_11,Dist,6,Opción 2
Suj_006,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,1,Opción 1
