ID_Sujeto,Origen_Form,Identidad,Bloque,Dilema,Dilema_Opcion,Categoria,Respuesta
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar
Suj_001,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,No cooperar
Suj_001,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,No cooperar
Suj_001,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar
Suj_001,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,No cooperar
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
Suj_001,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 2
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,No cooperar
Suj_001,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,Cooperar
Suj_001,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,Cooperar
Suj_001,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,No cooperar
Suj_001,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,Cooperar
Suj_001,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,Cooperar
Suj_001,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,No cooperar
Suj_001,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,Cooperar
Suj_001,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,Cooperar
Suj_001,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,No cooperar
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar
Suj_001,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,No cooperar
Suj_001,Respuestas de formulario 1,-,,Atencion,-,2,Opción 2
Suj_002,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar
Suj_002,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,No cooperar
Suj_002,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar
Suj_002,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,No cooperar
Suj_002,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar
Suj_002,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
Suj_002,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3
Suj_002,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,Cooperar
Suj_002,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,No cooperar
Suj_002,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,Cooperar
Suj_002,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,No cooperar
Suj_002,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,Cooperar
Suj_002,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,No cooperar
Suj_002,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,Cooperar
Suj_002,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,No cooperar
Suj_002,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,Cooperar
Suj_002,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,Cooperar
Suj_002,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar
Suj_002,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,Cooperar
Suj_002,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar
Suj_003,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar
Suj_003,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar
Suj_003,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar
Suj_003,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
Suj_003,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,Cooperar
Suj_003,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,No cooperar
Suj_003,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,Cooperar
Suj_003,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,No cooperar
Suj_003,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,Cooperar
Suj_003,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,Cooperar
Suj_003,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,Cooperar
Suj_003,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,Cooperar
Suj_003,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,Cooperar
Suj_003,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,No cooperar
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar
Suj_003,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,No cooperar
Suj_003,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,Cooperar
Suj_004,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar
Suj_004,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar
Suj_004,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar
Suj_004,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
Suj_004,Respuestas de formulario 1,-,Bloque_0,Atencion,-,1,Opción 3
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,2,1,Cooperar
Suj_004,Respuestas de formulario 1,ABC,Bloque_1,Bloque_CON,1,2,Cooperar
Suj_004,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,2,3,Cooperar
Suj_004,Respuestas de formulario 1,AEF,Bloque_3,Bloque_CON,1,4,Cooperar
Suj_004,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,2,5,Cooperar
Suj_004,Respuestas de formulario 1,ALM,Bloque_5,Bloque_CON,1,6,Cooperar
Suj_004,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,2,7,Cooperar
Suj_004,Respuestas de formulario 1,AGH,Bloque_7,Bloque_CON,1,8,Cooperar
Suj_004,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,2,9,Cooperar
Suj_004,Respuestas de formulario 1,AJK,Bloque_9,Bloque_CON,1,10,Cooperar
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,2,11,Cooperar
Suj_004,Respuestas de formulario 1,AQS,Bloque_11,Bloque_CON,1,12,Cooperar
Suj_004,Respuestas de formulario 1,-,,Atencion,-,2,Opción 3
Suj_005,Respuestas de formulario 1,ABC,Bloque_1,Bloque_SIN,-,1,No cooperar
Suj_005,Respuestas de formulario 1,AEF,Bloque_3,Bloque_SIN,-,2,Cooperar
Suj_005,Respuestas de formulario 1,ALM,Bloque_5,Bloque_SIN,-,3,Cooperar
Suj_005,Respuestas de formulario 1,AGH,Bloque_7,Bloque_SIN,-,4,Cooperar
Suj_005,Respuestas de formulario 1,AJK,Bloque_9,Bloque_SIN,-,5,Cooperar
Suj_005,Respuestas de formulario 1,AQS,Bloque_11,Bloque_SIN,-,6,Cooperar
