,β,SE,OR,IC_95_low,IC_95_high,p,sig
Intercept,-0.683,0.201,0.505,0.341,0.749,0.001,**
T_CON,-0.167,0.317,0.846,0.455,1.574,0.599,
T_SIN,0.349,0.278,1.418,0.823,2.443,0.209,
SDO_c,0.051,0.313,1.052,0.57,1.943,0.871,
Gap_k,-0.656,0.163,0.519,0.377,0.714,0.0,***
T_CON:SDO_c,0.074,0.461,1.077,0.437,2.656,0.872,
T_SIN:SDO_c,0.456,0.396,1.578,0.727,3.425,0.249,
T_CON:Gap_k,-0.157,0.262,0.855,0.512,1.428,0.55,
T_SIN:Gap_k,-0.27,0.257,0.763,0.461,1.264,0.294,
SDO_c:Gap_k,-0.157,0.194,0.855,0.585,1.249,0.417,
T_CON:SDO_c:Gap_k,0.111,0.307,1.117,0.612,2.041,0.718,
T_SIN:SDO_c:Gap_k,0.457,0.338,1.58,0.814,3.066,0.176,
