,β,SE,OR,IC_95_low,IC_95_high,p,sig
Intercept,-0.561,0.442,0.571,0.24,1.358,0.205,
T_CON,-0.667,0.758,0.513,0.116,2.27,0.379,
T_SIN,-0.115,0.561,0.891,0.297,2.673,0.837,
SDO_c,-0.374,0.596,0.688,0.214,2.211,0.53,
Gap_k,-0.476,0.259,0.621,0.374,1.033,0.066,†
T_CON:SDO_c,0.962,0.827,2.618,0.518,13.234,0.244,
T_SIN:SDO_c,1.449,0.771,4.258,0.94,19.282,0.06,†
T_CON:Gap_k,-0.116,0.45,0.891,0.369,2.15,0.797,
T_SIN:Gap_k,-0.219,0.403,0.804,0.364,1.772,0.588,
SDO_c:Gap_k,0.036,0.254,1.037,0.63,1.708,0.887,
T_CON:SDO_c:Gap_k,0.327,0.31,1.387,0.755,2.547,0.291,
T_SIN:SDO_c:Gap_k,0.517,0.53,1.677,0.594,4.737,0.329,
